Division;Polling Place;Informal Vote
Cowper;Gladstone;24
Cowper;Gleniffer;1
Cowper;Hat Head;4
Cowper;Hollisdale;1
Cowper;Karangi;6
Cowper;Kempsey;31
Cowper;Kempsey East;17
Cowper;Kempsey High;42
Cowper;Kempsey Hospital;6
Cowper;Kempsey South;38
Cowper;Kempsey West;26
Cowper;Kinchela;2
Cowper;Korora;16
Cowper;Kundabung;4
Cowper;Lowanna;1
Cowper;Lower Bucca;0
Cowper;Macksville;49
Cowper;Macksville Hospital;5
Cowper;Medlow;3
Cowper;Missabotti;1
Cowper;Moonee Beach;11
Cowper;Mylestom;10
Cowper;Nambucca Heads;67
Cowper;Nana Glen;12
Cowper;Newville;12
Cowper;Pembrooke;1
Cowper;Port Macquarie North Shore;4
Cowper;Raleigh;5
Cowper;Repton;5
Cowper;Rollands Plains;2
Cowper;Sandy Beach;23
Cowper;Sawtell;48
Cowper;Scotts Head;7
Cowper;Smithtown;12
Cowper;South West Rocks;60
Cowper;Special Hospital Team 1;2
Cowper;Special Hospital Team 2;2
Cowper;Stuarts Point;16
Cowper;Sydney (Cowper);0
Cowper;Talarm;1
Cowper;Telegraph Point;16
Cowper;Thora;2
Cowper;Toormina;69
Cowper;Ulong;2
Cowper;Upper Orara;4
Cowper;Urunga;34
Cowper;Utungun;6
Cowper;Valla Beach;5
Cowper;Warrell Creek;6
Cowper;Willawarrin;9
Cowper;Woolgoolga;107
Cowper;Yarras;0
Cowper;ABSENT;111
Cowper;POSTAL;16
Cowper;PRE POLL;51
Cowper;PROVISIONAL;20
Cunningham;Austinmer;16
Cunningham;Balgownie;148
Cunningham;Bellambi;57
Cunningham;Bulli;26
Cunningham;Bulli Central;60
Cunningham;Bulli Hospital;6
Cunningham;Coledale;20
Cunningham;Coniston;105
Cunningham;Corrimal;110
Cunningham;Corrimal East;101
Cunningham;Fairy Meadow;104
Cunningham;Fairy Meadow South;4
Cunningham;Figtree (Cunningham);101
Cunningham;Figtree Heights;23
Cunningham;Gwynneville;42
Cunningham;Keiraville;74
Cunningham;Kembla Heights;2
Cunningham;Lindsay Park;73
Cunningham;Mount Keira;40
Cunningham;Mount Kembla;11
Cunningham;Mount Ousley;45
Cunningham;Mount Saint Thomas;63
Cunningham;Reidtown;42
Cunningham;Russell Vale;43
Cunningham;Scarborough;2
Cunningham;Smith's Hill;80
Cunningham;Special Hospital Team 1;8
Cunningham;Special Hospital Team 2;1
Cunningham;Sydney (Cunningham);2
Cunningham;Tarrawanna;56
Cunningham;Thirroul;30
Cunningham;Thirroul East;56
Cunningham;Towradgi;73
Cunningham;Towradgi East;14
Cunningham;Unanderra;19
Cunningham;Unanderra Central (Cunningham);107
Cunningham;Wollongong;132
Cunningham;Wollongong Central;87
Cunningham;Wollongong Hospital;7
Cunningham;Wollongong West;94
Cunningham;Wombarra;7
Cunningham;Woonona;57
Cunningham;Woonona Central;44
Cunningham;Woonona East;41
Cunningham;ABSENT;107
Cunningham;POSTAL;20
Cunningham;PRE POLL;35
Cunningham;PROVISIONAL;24
Dobell;Bateau Bay;50
Dobell;Bateau Bay Central;7
Dobell;Bateau Bay East;34
Dobell;Bateau Bay South;6
Dobell;Bateau Bay West;14
Dobell;Berkeley Vale;40
Dobell;Berkeley Vale North;18
Dobell;Bluehaven;7
Dobell;Charmhaven;32
Dobell;Chittaway Bay;37
Dobell;Chittaway Point;7
Dobell;Dooralong;6
Dobell;Erina Heights (Dobell);10
Dobell;Forresters Beach;18
Dobell;Gorokan;35
Dobell;Gorokan North;75
Dobell;Holgate;3
Dobell;Jilliby;7
Dobell;Kanwal;30
Dobell;Killarney Vale;47
Dobell;Killarney Vale South;73
Dobell;Kulnura;9
Dobell;Lisarow;22
Dobell;Long Jetty;55
Dobell;Matcham;5
Dobell;Narara;27
Dobell;Niagara Park;41
Dobell;North Entrance;12
Dobell;Ourimbah;27
Dobell;Special Hospital Team 1;4
Dobell;Special Hospital Team 2;8
Dobell;Sydney (Dobell);2
Dobell;Tacoma;10
Dobell;Terrigal (Dobell);29
Dobell;The Entrance;52
Dobell;Toowoon Bay;19
Dobell;Tuggerah;12
Dobell;Tuggerawong;10
Dobell;Tumbi Umbi;10
Dobell;Valley View;6
Dobell;Wamberal;43
Dobell;Wamberal North;3
Dobell;Warnervale;20
Dobell;Watanobbi;26
Dobell;Wyoming;52
Dobell;Wyoming Central;46
Dobell;Wyong;80
Dobell;Wyong Creek;4
Dobell;Wyongah;15
Dobell;Yarramalong;7
Dobell;ABSENT;138
Dobell;POSTAL;27
Dobell;PRE POLL;46
Dobell;PROVISIONAL;29
Eden-Monaro;Adaminaby;18
Eden-Monaro;Ando;1
Eden-Monaro;Araluen;5
Eden-Monaro;Batehaven;23
Eden-Monaro;Batemans Bay;59
Eden-Monaro;Bega;59
Eden-Monaro;Bega Central;34
Eden-Monaro;Bega Hospital;3
Eden-Monaro;Bemboka;9
Eden-Monaro;Bermagui;24
Eden-Monaro;Berridale;14
Eden-Monaro;Bibbenluke;1
Eden-Monaro;Bimbimbie;11
Eden-Monaro;Bodalla;8
Eden-Monaro;Bombala;19
Eden-Monaro;Braidwood;25
Eden-Monaro;Bredbo;5
Eden-Monaro;Brogo;1
Eden-Monaro;Broulee;12
Eden-Monaro;Bungendore;26
Eden-Monaro;Candelo;12
Eden-Monaro;Captains Flat;11
Eden-Monaro;Cathcart;1
Eden-Monaro;Central Tilba;11
Eden-Monaro;Cobargo;13
Eden-Monaro;Cooma;75
Eden-Monaro;Cooma Hospital;8
Eden-Monaro;Cooma North;26
Eden-Monaro;Cooma South;17
Eden-Monaro;Dalgety;2
Eden-Monaro;Dalmeny;20
Eden-Monaro;Delegate;6
Eden-Monaro;Eden;46
Eden-Monaro;Jerangle;1
Eden-Monaro;Jindabyne;18
