2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [12246 8/11/2005 11:09:18 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fraser,8820,Higgins,15143,GILES,Adam,3,,LP,Liberal,753,-3.41
ACT,102,Fraser,8821,Holt,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1437,0.65
ACT,102,Fraser,8821,Holt,15143,GILES,Adam,3,,LP,Liberal,859,-0.65
ACT,102,Fraser,8822,Jervis Bay,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),43,-4.27
ACT,102,Fraser,8822,Jervis Bay,15143,GILES,Adam,3,,LP,Liberal,55,4.27
ACT,102,Fraser,8823,Kaleen,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1741,0.68
ACT,102,Fraser,8823,Kaleen,15143,GILES,Adam,3,,LP,Liberal,991,-0.68
ACT,102,Fraser,8824,Kaleen South,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1112,2.7
ACT,102,Fraser,8824,Kaleen South,15143,GILES,Adam,3,,LP,Liberal,622,-2.7
ACT,102,Fraser,8825,Latham,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1171,2.99
ACT,102,Fraser,8825,Latham,15143,GILES,Adam,3,,LP,Liberal,741,-2.99
ACT,102,Fraser,8826,Lyneham,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),2386,0.15
ACT,102,Fraser,8826,Lyneham,15143,GILES,Adam,3,,LP,Liberal,841,-0.15
ACT,102,Fraser,8827,Macgregor,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1120,0.29
ACT,102,Fraser,8827,Macgregor,15143,GILES,Adam,3,,LP,Liberal,657,-0.29
ACT,102,Fraser,8828,Macquarie,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1187,2.2
ACT,102,Fraser,8828,Macquarie,15143,GILES,Adam,3,,LP,Liberal,535,-2.2
ACT,102,Fraser,8830,Melba,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1340,2.39
ACT,102,Fraser,8830,Melba,15143,GILES,Adam,3,,LP,Liberal,786,-2.39
ACT,102,Fraser,8782,Narrabundah,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1333,-2.32
ACT,102,Fraser,8782,Narrabundah,15143,GILES,Adam,3,,LP,Liberal,647,2.32
ACT,102,Fraser,32463,Ngunnawal,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1470,-0.51
ACT,102,Fraser,32463,Ngunnawal,15143,GILES,Adam,3,,LP,Liberal,1134,0.51
ACT,102,Fraser,34239,Ngunnawal South,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),431,-0.66
ACT,102,Fraser,34239,Ngunnawal South,15143,GILES,Adam,3,,LP,Liberal,361,0.66
ACT,102,Fraser,32081,Nicholls,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1527,-3.92
ACT,102,Fraser,32081,Nicholls,15143,GILES,Adam,3,,LP,Liberal,1552,3.92
ACT,102,Fraser,38198,O'Connor,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),578,1.55
ACT,102,Fraser,38198,O'Connor,15143,GILES,Adam,3,,LP,Liberal,188,-1.55
ACT,102,Fraser,8832,Page,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1092,2.18
ACT,102,Fraser,8832,Page,15143,GILES,Adam,3,,LP,Liberal,590,-2.18
ACT,102,Fraser,31626,Palmerston,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1697,-0.09
ACT,102,Fraser,31626,Palmerston,15143,GILES,Adam,3,,LP,Liberal,1303,0.09
ACT,102,Fraser,32950,Prison Mobile Team 1,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),3,-11.43
ACT,102,Fraser,32950,Prison Mobile Team 1,15143,GILES,Adam,3,,LP,Liberal,2,11.43
ACT,102,Fraser,8833,Reid,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),548,0.89
ACT,102,Fraser,8833,Reid,15143,GILES,Adam,3,,LP,Liberal,282,-0.89
ACT,102,Fraser,8834,Scullin,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1251,3.26
ACT,102,Fraser,8834,Scullin,15143,GILES,Adam,3,,LP,Liberal,650,-3.26
ACT,102,Fraser,32467,Special Hospital Team 1,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),144,-2.43
ACT,102,Fraser,32467,Special Hospital Team 1,15143,GILES,Adam,3,,LP,Liberal,184,2.43
ACT,102,Fraser,32468,Special Hospital Team 2,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),108,6.63
