MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,NXT FP,UAP FP,DEM FP,DLP FP,OTH FP,GLApp,GLDis,Comments
1969-06-15,F2F Morgan,,#N/A,50,40,#N/A,#N/A,#N/A,#N/A,#N/A,7,3,,,#Transcribed
1969-08-15,F2F Morgan,,#N/A,48,43,#N/A,#N/A,#N/A,#N/A,#N/A,7,2,,,
1969-10-15,F2F Morgan,,#N/A,48,42,#N/A,#N/A,#N/A,#N/A,#N/A,8,2,,,
1969-12-15,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,6,3,,,#Transcribed
1970-02-15,F2F Morgan,,#N/A,48,44,#N/A,#N/A,#N/A,#N/A,#N/A,6,2,,,
1970-06-15,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,6,2,,,
1970-08-31,F2F Morgan,,#N/A,45,46,#N/A,#N/A,#N/A,#N/A,#N/A,6,3,,,
1971-03-10,F2F Morgan,,#N/A,43,44,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,,,
1971-03-20,F2F Morgan,,#N/A,47,43,#N/A,#N/A,#N/A,#N/A,#N/A,6,4,,,
1971-06-15,F2F Morgan,,#N/A,45,44,#N/A,#N/A,#N/A,#N/A,#N/A,8,3,,,
1971-08-10,F2F Morgan,,#N/A,46,41,#N/A,#N/A,#N/A,#N/A,#N/A,8,5,,,
1971-08-20,F2F Morgan,,#N/A,42,45,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,,,
1971-09-15,F2F Morgan,,#N/A,45,46,#N/A,#N/A,#N/A,#N/A,#N/A,7,2,,,
1971-11-15,F2F Morgan,,#N/A,45,45,#N/A,#N/A,#N/A,#N/A,#N/A,7,3,,,
1972-02-15,F2F Morgan,,#N/A,40,49,#N/A,#N/A,#N/A,#N/A,#N/A,7,4,,,
1972-04-10,F2F Morgan,,#N/A,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,7,6,,,
1972-04-20,F2F Morgan,,#N/A,40,48,#N/A,#N/A,#N/A,#N/A,#N/A,7,5,,,
1972-06-15,F2F Morgan,,#N/A,42,46,#N/A,#N/A,#N/A,#N/A,#N/A,7,5,,,
1972-07-15,F2F Morgan,,#N/A,47,42,#N/A,#N/A,#N/A,#N/A,#N/A,5,6,,,
1972-08-15,F2F Morgan,,#N/A,46,43,#N/A,#N/A,#N/A,#N/A,#N/A,6,5,,,
1972-09-15,F2F Morgan,,#N/A,46,45,#N/A,#N/A,#N/A,#N/A,#N/A,5,4,,,
1972-10-15,F2F Morgan,,#N/A,42,47,#N/A,#N/A,#N/A,#N/A,#N/A,5,6,,,
1972-11-15,F2F Morgan,,#N/A,41,49,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,,,
1972-11-25,F2F Morgan,,#N/A,42,50,#N/A,#N/A,#N/A,#N/A,#N/A,5,3,,,
1973-02-15,F2F Morgan,,#N/A,40,51,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1973-03-08,F2F Morgan,,#N/A,40,53,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,,,
1973-03-22,F2F Morgan,,#N/A,39,52,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1973-04-08,F2F Morgan,,#N/A,38,53,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1973-04-22,F2F Morgan,,#N/A,41,48,#N/A,#N/A,#N/A,#N/A,#N/A,5,6,,,
1973-05-15,F2F Morgan,,#N/A,44,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,8,,,
1973-06-05,F2F Morgan,,#N/A,45,46,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1973-06-15,F2F Morgan,,#N/A,45,46,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1973-07-15,F2F Morgan,,#N/A,46,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,6,,,
1973-08-15,F2F Morgan,,#N/A,49,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1973-09-05,F2F Morgan,,#N/A,48,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
